tweet,Airtel_Pos,Airtel_Neut,Airtel_Neg,Saf_Pos,Saf_Neut,Saf_Neg,clean_tweets
"Safeboda, Airtel &amp; MTN

Stop spamming us with your unbecoming marketing messages@kemboi_jnr_2 Jegi za Zuri safaricom zimeshinda za dem yangu",0,0,1,0,1,0,safeboda airtel amp mtn stop spamming unbecoming marketing messages jegi zuri safaricom zimeshinda dem yangu
b'Wama aba @Airtel_Ug  how much is a simcard? https://t.co/SSCXVHoewM'hey @Safaricom_Care do Corporate Value Pack Clients access MPESA?,0,1,0,1,0,0,b wama aba much simcard corporate value pack clients access mpesa
"Good morning @airtelmoneyug why I'm I not getting messages from airtel money on my phone like even when I initiate… https://t.co/tMAfPo5INZBREAKING NEWS: It's now clear we have BUSINESS SUPPORTERS (#BabaNaMartha) and BUSINESS ATTACKERS (Ruto and Aibu wa Rice Rigathi Gachagua).  Ruto attacks Citizen TV, Inooro TV, Kameme Radio &amp; TV, Daily Nation Newspaper &amp; Presidential Debate planners &amp; Gachagua attacked Safaricom.  https://t.co/6y9q7AkCcA",1,0,0,0,0,1,good morning getting messages airtel money phone like even initiate news clear business supporters babanamartha business attackers ruto aibu rice rigathi gachagua ruto attacks citizen tv inooro tv kameme radio amp tv daily nation newspaper amp presidential debate planners amp gachagua attacked safaricom
@AIRTEL_KE Zile za 2gb na 99 bob for 1 month na 1gb for 49 bob@LeoNyikuli Hi Leo. Your feedback is appreciated. The process is for use in blocking fraudulent sim swap attempts. You can learn more on this on  https://t.co/zkpuJJ9MxA .^WM,0,1,0,0,0,1,gb bob month gb bob leo feedback appreciated process use blocking fraudulent sim swap attempts learn wm
"b'The Government of Kenya MUST move with speed and BAN SIM SWAP WITH IMMEDIATE EFFECT FORTHWITH.\nIf not,then sim swap\xe2\x80\xa6 https://t.co/9N9aSAOHEy'@heikal_heik77 Hi Heik, yes. Replacement will only happen at a customer care shop in your presence if you activate this. ^YK",0,0,1,1,0,0,b government kenya must move speed ban sim swap immediate effect forthwith nif sim swap xe x xa heik replacement happen customer care shop presence activate yk
@AIRTEL_KE nangoja 3.5gb I just self updated my sim registration ama hiyo offer ni scam@DoreenKanaiza @izkctm @Safaricom_Care How did u change the settings,0,0,1,0,1,0,nangoja gb self updated sim registration ama hiyo offer scam u change settings
@Airtel_Ug  please I kindly communicate to you requesting to know how long 5GB  of data should take.  On Wednesday… https://t.co/kXqKtNfA6k@ramugangai @BravinYuri @SafaricomPLC Sambaza bonga points nikule sapa,1,0,0,0,1,0,please kindly communicate requesting know long gb data take wednesday sambaza bonga points nikule sapa
"@AntonyO93865236 @AntonyO93865236 : Hello. You may  activate the card via the M-PESA App by selecting M-PESA GlobalPay, under the “Pay” or “Grow” option. ^WP@AIRTEL_KE Airtel number  0100386563
Safaricom number 0707837281 https://t.co/omqNNPkavi",1,0,0,1,0,0,hello may activate card via pesa app selecting pesa globalpay pay grow option wp airtel number safaricom number
@MakauWaMuli @citizentvkenya Switch to airtel tvThe amazing team that made sure everything stayed on course during the Safaricom Inter-Universities Chess Champions… https://t.co/QI8rS6eEat,0,1,0,1,0,0,switch airtel tvthe amazing team made sure everything stayed course safaricom inter universities chess champions
"@moneyacademyKE Safaricom is slowly but surely killing banks....Good death though!b""@AIRTEL_KE i bought bundles through DIRECT PAY HQ for account R33845491MBT30637387 yesterday at 9pm and i haven't r\xe2\x80\xa6 https://t.co/pboy7o8R9o""",0,0,1,0,0,1,safaricom slowly surely killing banks good death though b bought bundles direct pay hq account r mbt yesterday pm r xe x xa
"@Safaricom_Care I dont know how to say this without loosing it. Your smart not so smart system that you have put in place for SIM registration is so so frustrating, I have spent an hour tweaking this and that just to upload copies of my ID.#Nalwawo wins the Best Local Indigenous Film  category at the #UFF2022  Awards Gala night 

@DStvUganda… https://t.co/q7rBv5pvhX",1,0,0,1,0,0,dont know say without loosing smart smart system put place sim registration frustrating spent hour tweaking upload copies id nalwawo wins best local indigenous film category uff awards gala night
"b'RT @RamilFelix_: Rigathi says UDA/KK government will kill Safcom and give the money to people to start small businesses! Does he understand\xe2\x80\xa6'b'@AIRTEL_KE my unemployed ass can\xe2\x80\x99t keep up with yall, siwezi nunua bando mara tatu in one day \xf0\x9f\x98\x92'",0,0,1,0,0,1,b rt rigathi says uda kk government kill safcom give money people start small businesses understand xe x xa b unemployed ass xe x x keep yall siwezi nunua bando mara tatu one day xf x f x x
"Don't stress!  Buy airtel/Telkom/ Safaricom airtime at no extra cost. Hata na fuliza

#MasculinitySaturday https://t.co/t1vM6zyal7@lil_mike_ke @SafaricomPLC 😂😂😂si wakupee tu saa hii .hakuna haja kungoja na ni same",0,0,1,0,1,0,stress buy airtel telkom safaricom airtime extra cost hata fuliza masculinitysaturday wakupee saa hakuna haja kungoja
"@Safaricom_Care “service” is down, avoid buying data via M-PESA, money is deducted and no DATA (MB/GB) given!!!!@AIRTEL_KE How do you guys allow 2 similar Airtel money transactions to go through when there was a slight network interruption?",0,0,1,0,0,1,service avoid buying data via pesa money deducted data mb gb given allow similar airtel money transactions slight network interruption
"@TheUgandanPoet @Airtel_Ug We are all broke, we can’t afford life@Suzzio1 @Suzzio1  On it Susan .^CH",0,0,1,0,1,0,broke afford life susan ch
"@omwambaKE #Airtel  I am stuck with 5000 worthy of airtime for two weeks after a wrong transaction. They customer c… https://t.co/oOOIxhCHA5@Tear_Drop_Jonte @Tear_Drop_Jonte : Hello TearDrop, please share your number via DM  https://t.co/6UobYSJtix we check on this.^JU",0,0,1,1,0,0,airtel stuck worthy airtime two weeks wrong transaction customer c hello teardrop please share number via check ju
"@Pesapal Bought @AIRTEL_KE airtime via your mpesa pay bill and it is not reflecting, I need my money@Safaricom_Care is it true by dialing *100*100# prevents Swim swap",0,0,1,1,0,0,bought airtime via mpesa pay bill reflecting need money true dialing prevents swim swap
@NationAfrica Kujeni Hapa @AIRTEL_KE . Fact of fiction?@MwangoCapital @NationAfrica Safaricom MPESA is now questionable,0,1,0,0,0,1,kujeni hapa fact fiction safaricom mpesa questionable
"@allan_wekesa Apologies for the delay , awaiting feedback from IQUIN. .^Caro@matutu_linda Hi @matutu_linda kindly share you name, number and ID via this DM link https://t.co/jF6LqBUAqM ^VK.",0,0,1,1,0,0,apologies delay awaiting feedback iquin kindly share name number id via link vk
"@AIRTEL_KE Whats wrong with your network today??  Too slow 🤔🤔@GeofreyBisonga Hi Jeff, kindly DM  https://t.co/6UobYSJtix us your number, name and ID to check and advise. ^MS",0,0,1,1,0,0,whats wrong network today slow jeff kindly number name id check advise ms
@AIRTEL_KE Telkom browsing offers are far much ahead of yours.@Safaricom_Care See DM and revert please,0,1,0,1,0,0,telkom browsing offers far much ahead see revert please
@SafaricomPLC This safaricom home Fibre is a scam. Always having issues@tommwenda Apologies for the trouble @tommwenda. Please DM your number and a sample of the messages we assist .^Caro,0,0,1,0,0,1,safaricom home fibre scam always issues apologies trouble please number sample messages assist
"@Mwendwa74313524 Hello Mwendwa, what error do they get?^Caro@dk_raini @SafaricomPLC @Safaricom_Care @StanbicKE @StanbicKE Kindly i need my money back,, I have called the number 0800720044 but the person on the other end has decided to mute on me,, surely you are a big Bank, simple customer service etiquette is a problem @StanbicKE",0,0,1,1,0,0,hello mwendwa error get kindly need money back called number person end decided mute surely big bank simple customer service etiquette problem
@agaston94 @Airtel_Ug I bought mine thank you @Airtel_Ug@roomthinker It should be automatic! @Safaricom_Care,1,0,0,0,1,0,bought mine thank automatic
b'@ArapTilingi Who has experience with telkom aniambie nihame safaricom n airtel'@Safaricom_Care hello is this *100*100# for anti sim card swapping,0,1,0,0,0,1,b experience telkom aniambie nihame safaricom n airtel hello anti sim card swapping
"b'@Airtel_Ug company ranks on the web.\nThe 100mins would help in making calls to company clients to keep in touch and\xe2\x80\xa6 https://t.co/tt839uQZR9'@Leagacy001 Hi Leagacy. Sorry, if the line was already recycled, it is not possible to re-direct the code being sen… https://t.co/p83Y97JBtK",1,0,0,0,0,1,b company ranks web nthe mins would help making calls company clients keep touch xe x xa leagacy sorry line already recycled possible direct code sen
@Safaricom_Care @DrRoselynAkombe I wonder why you should impose sms charges to send money at the same time you have sending charges.. @Safaricom_Care @SafaricomPLC  mkue serious for once .. this is even more stupid.@AIRTEL_KE good morning ..your services needed please@MwangoCapital @NationAfrica Safaricom is slowly becoming another Equity Bank nightmare.,0,0,1,0,1,0,wonder impose sms charges send money time sending charges mkue serious even stupid good morning services needed please safaricom slowly becoming another equity bank nightmare
"@_crazy_kinyan @AIRTEL_KE I did subscribe to the 1gb daily, it was working well but today, since morning, it has no… https://t.co/xTmUiAC0Wb@Drngures Hello Ngure. Please note that once you dial the procedure you will only be able to do a replacement by vi… https://t.co/W71VWRSBgE",0,0,1,1,0,0,subscribe gb daily working well today since morning hello ngure please note dial procedure able replacement vi
Communications Authority: Airtel Kenya had the worst mobile cellular services in 2021 https://t.co/r92LPzAfP6@SafaricomPLC Haven't recieved any it's my birthday,0,0,1,0,1,0,communications authority airtel kenya worst mobile cellular services recieved birthday
"@AIRTEL_KE Dear Customer, you are not eligible for this offer. You must have a new smartphone to qualify.b'@omwambaKE @Safaricom_Care @SafaricomPLC  you guys registered another line with my ID without my consent. That line\xe2\x80\xa6 https://t.co/hArBdsvHgy'",1,0,0,0,0,1,dear customer eligible offer must new smartphone qualify b registered another line id without consent line xe x xa
"@AIRTEL_KE whats wrong guys, nililinunua airtime juzi nikalipa okoa, sai nimenunua airtime for ďata mnaniambia sina enough airtime to buy data. Whats wrong bana.#AsanteFinancing gives the customers quick financing solutions for their expansion, working capital, &amp; operational needs. It is tailor-made for Safaricom Lipa Na M-Pesa merchants, making it easy to access fast and convenient credit for their businesses for up to 200,000 shillings",0,0,1,1,0,0,whats wrong nililinunua airtime juzi nikalipa okoa sai nimenunua airtime ata mnaniambia sina enough airtime buy data whats wrong bana asantefinancing gives customers quick financing solutions expansion working capital amp operational needs tailor made safaricom lipa pesa merchants making easy access fast convenient credit businesses shillings
"@Nicksonkiprot17 Hi Nickson, kindly DM  https://t.co/6UobYSJtix us your number, name and ID to check and advise. ^MS@Airtel_Ug @Manoj5571 @Amitkapur75 On sending money the money is taken from my account but not received by the other party",1,0,0,1,0,0,nickson kindly number name id check advise ms sending money money taken account received party
"Suppose you activate anti-swim swap at agent via  *100*100#, can you reverse the process? @Safaricom_Care @SafaricomPLCLrt VISA have decided if you can't beat them join them. airtel once had a similar product but it died very fast #MPESAGlobalPay",0,0,1,0,0,1,suppose activate anti swim swap agent via reverse process visa decided beat join airtel similar product died fast mpesaglobalpay
"b""@AIRTEL_KE Hi, I've been trying to self-update but my ID is rejected. Shida iko wapi?""@Osama_otero Can @Safaricom_Care, @AIRTEL_KE @TelkomKenya @KeEquityBank... come up with an esim for most Android de… https://t.co/dVHysoJE2Q",0,0,1,0,1,0,b trying self update id rejected shida iko wapi come esim android de
b'@Airtel_Ug \nYour customer service should come through! https://t.co/NbQV33zvmv'@Safaricom_Care hi. Please check DM thanks.,0,1,0,1,0,0,b nyour customer service come please check thanks
"b'@AIRTEL_KE Hello, My Airtel Money account is locked for having entered the wrong. Am a bit far from any customer ca\xe2\x80\xa6 https://t.co/EFRcSvfHpe'b'@Stephen8534 Hi Stephen, kindly DM https://t.co/jF6LqBUAqM your phone number , full name and id number we check and advise. ^SW'",0,0,1,1,0,0,b hello airtel money account locked entered wrong bit far customer ca xe x xa stephen kindly phone number full name id number check advise sw
"b'@Airtel_Ug you should work on updating your systems, you can\xe2\x80\x99t have your customers going to service centres for a w\xe2\x80\xa6 https://t.co/ZbGJAxZhIK'@Safaricom_Care But it worked for a colleague and he had not received an illegal sim swap attempt.",0,1,0,0,0,1,b work updating systems xe x x customers going service centres w xe x xa worked colleague received illegal sim swap attempt
@AIRTEL_KE is a scam. Having 4g sim card and 4g phone still having issues streaming live?????? It's time this looters be boycotted.Here are some Links to what Safaricom has responded to so far.    https://t.co/FTXAWEhP96,0,0,1,0,1,0,scam g sim card g phone still issues streaming live time looters boycotted links safaricom responded far
"@Airtel_Ug So you Customer according to the areas or locations .
Be serious Airtel..@Safaricom_Care fiber account 11181637... Blinking red for the past one hour  https://t.co/qK5ZajMWwJ",0,0,1,0,1,0,customer according areas locations serious airtel fiber account blinking red past one hour
"@Safaricom_Care  what the hell is this. I usually get this pop almost daily at this specific time of the house seem… https://t.co/XVjcN12nlXSafeboda, Airtel &amp; MTN

Stop spamming us with your unbecoming marketing messages",0,0,1,0,0,1,hell usually get pop almost daily specific time house seem airtel amp mtn stop spamming unbecoming marketing messages
"@AIRTEL_KE oyah ^Caro. Howdy! Share your calling rates here. We are weighing options nah.@des_darios @laura254_ @Safaricom_Care Okoa ya 100?....
Show me your ways mkuu",1,0,0,0,1,0,oyah howdy share calling rates weighing options nah okoa show ways mkuu
"@Irenentale But which one do you use, MTN or Airtel? 🥳🤭@JThwagi @MwangoCapital @KAM_Kenya @IEAKwame @NSE_PLC @SafaricomPLC @mbuguanjihia @moneyacademyKE @coldtusker @alykhansatchu @CBKKenya @kahome_steve If endorsed by the President, it should help trim the cost of LPG",0,1,0,1,0,0,one use mtn airtel endorsed president help trim cost lpg
"Cc @AIRTEL_KE 
Seems like am not the only person complaining https://t.co/Yy9H8v9qOt@moneyacademyKE Red flag, in times of sanctions everyone will suffer. It were better if safaricom did it independently",1,0,0,0,0,1,cc seems like person complaining red flag times sanctions everyone suffer better safaricom independently
@AIRTEL_KE Mnasinya sana na hii network yenu@BravinYuri Normalise suing @SafaricomPLC,0,1,0,0,0,1,mnasinya sana network yenu normalise suing
"@AIRTEL_KE  your customer services is really lame, i have not been active since on Thursday,  i have been trying to know why you have closed my line na ni upuzi mnaniambia....  Kama mumeshindwa na kazi mseme.@SafaricomPLC This is a very smart move. I want ot buy safaricom shares like yesterday.",0,0,1,1,0,0,customer services really lame active since thursday trying know closed line upuzi mnaniambia kama mumeshindwa kazi mseme smart move want ot buy safaricom shares like yesterday
"@AIRTEL_KE Thank you for quite respond, i appreciate@Skelta_helter @Safaricom_Care @__Jijo_ @ZERO_MIND_1 @samuelwaititu12 @bobbymhenga @danniewakiambu @TheDopestLyon Maumbwa nyinyi",1,0,0,0,1,0,thank quite respond appreciate maumbwa nyinyi
"b""@AIRTEL_KE There is a serious Network outage in Juja Locality.\nOne can't place or receive a call or SMS.  \nLandmark\xe2\x80\xa6 https://t.co/kZKgyjPjBb""@SafaricomPLC Like all of them? They're 8 pages in total",0,0,1,1,0,0,b serious network outage juja locality none place receive call sms nlandmark xe x xa like pages total
"b""@ArapTilingi Airtel Mifi's available @4000/= free Deliveries in Nairobi. Support your plug\n0781074146 https://t.co/y58krVIOqY""@Safaricom_Care To reverse money or airtime, forward the M-PESA SMS received to 456. For paybill reversal, contact… https://t.co/HWlJIsbVPT",1,0,0,0,1,0,b airtel mifi available free deliveries nairobi support plug n reverse money airtime forward pesa sms received paybill reversal contact
Received a call from a suspicious source? Our only official number is 0722 000 000 and it is the only number we wil… https://t.co/mcLJ51YJdkb'@omwambaKE @AIRTEL_KE the worst in response and listening terms',0,0,1,0,0,1,received call suspicious source official number number wil worst response listening terms
"@Airtel_Ug money withdraw codes take ages, their collections platforms goes offline all the time🤔
why @Airtel_UgSafaricom and Visa launch M-PESA GlobalPay Visa virtual card https://t.co/o0ElPmmc4V",0,0,1,0,1,0,money withdraw codes take ages collections platforms goes offline time visa launch pesa globalpay visa virtual card
b'@AkampaWright @CharityKarungi_ @Kazire_Products Tell that to airtel after they take more than half of your freaky Friday on Sunday midnight\xf0\x9f\xa4\xa3'Kenya : Safaricom et Visa proposent une carte virtuelle pour les transactions internationales  https://t.co/mi3d91GNA3,0,0,1,0,1,0,b tell airtel take half freaky friday sunday midnight xf x f xa xa kenya safaricom et visa proposent une carte virtuelle pour les transactions internationales
"@Safaricom_Care Hey you people, am not so happy with @SafaricomPLC , for the past one week i have experienced low i… https://t.co/zZGzyTw7aY@lucykigenyi Good idea Lucy. We used to have this service but fraudsters get hold of it and used to do wonders to people's lines. It was therefore disabled and the same can only be offered by physically visiting a Safaricom shop. ^MM",1,0,0,0,0,1,people happy past one week experienced low good idea lucy used service fraudsters get hold used wonders people lines therefore disabled offered physically visiting safaricom shop mm
@AIRTEL_KE Uselessb'M-pesa App by @SafaricomPLC has undergone some upgrades and will have a slightly different look also with some addi\xe2\x80\xa6 https://t.co/uUXS4zt9Pk',0,0,1,0,1,0,uselessb pesa app undergone upgrades slightly different look also addi xe x xa
"Old enough to know better, but still young enough to get away with it. Today, we celebrate ME!.  @Safaricom_Care don't load those bundles as usual, treat this as special and send me M-pesa nipange watu wangu.@_WinstonEric We are sorry for the delayed resolution. DPO is working on resolving this. ^Caro",1,0,0,1,0,0,old enough know better still young enough get away today celebrate load bundles usual treat special send pesa nipange watu wangu sorry delayed resolution dpo working resolving
"3 Gbs of airtel data cannot take me through the day on an Android phone , unbelievable.Even if @Safaricom rings me i never answer even for an Mpesa reversal...just wait till they do it;)",1,0,0,0,1,0,gbs airtel data cannot take day android phone unbelievable even rings never answer even mpesa reversal wait till
"@izkctm @Safaricom_Care I decamped to @AIRTEL_KE peace of mind, safaricom bure kabisa.",1,0,0,0,0,1,decamped peace mind safaricom bure kabisa
"@AIRTEL_KE Hey caro hebu mnifungulie hizo offers walai....i get friends here with that offer....the guys they moved… https://t.co/PHpMpkyKuwJourney begins in 2003 in NY Highlights: Invite to test/ MTN- 2004 Sabotage frm within  Won open bid/Vodacom-2007 1st/44 global firms Vodacom sells to Zain- Deal dies  Secure 1 yr test/ Airtel India- 2012- asks 5 yr Rupee deal-High risk, No deal!  Safaricom/2nd in open bid - 2014",1,0,0,0,1,0,hebu mnifungulie hizo offers walai get friends offer moved begins ny highlights invite test mtn sabotage frm within open bid vodacom st global firms vodacom sells zain deal dies secure yr test airtel india asks yr rupee deal high risk deal safaricom nd open bid
"@_falsi1ke Investing my only 10k by then to a pyramid scheme called DECI. I was told by a friend that in one month… https://t.co/t85Kpaq2yA@__IHAJJUTD Thank you, but I will be here serving you. Offering the best. ^Caro",1,0,0,1,0,0,investing k pyramid scheme called deci told friend one month thank serving offering best
@CT_philipoyamo @ODPC_KE @SafaricomPLC @TelkomKenya @AIRTEL_KE They should think about it.My sister in law from Uganda was conned by those @Safaricom_Care @SafaricomPLC thieves her M-Pesa wiped out completely,0,1,0,0,0,1,think sister law uganda conned thieves pesa wiped completely
"@mmutile HI Martha,the Parkside Shop is closed.^Caro@SafaricomPLC I have always had this phobia of using my bank cards to purchase services online literally because fraud is rampant nowadays, How safe is your virtual Visa card in that I won't lose all my money from Mpesa wallet??",0,1,0,0,0,1,martha parkside shop closed always phobia bank cards purchase services online literally fraud rampant nowadays safe virtual visa card lose money mpesa wallet
"@Lil_Aziiz @nickrivals @SafaricomPLC 😂😂😂aziza lilian kila msee anajua unategemea dear ya safaricom😂b""@AIRTEL_KE why can't you use the numerics 1 -9? How do i even get * ? https://t.co/L7IHjyi2IK""",1,0,0,1,0,0,aziza lilian kila msee anajua unategemea dear safaricom b use numerics even get
"@grandpa_rinat Hi RKM, please send STOP to the code on the promotional message for exemption. ^Caro@ntvkenya Tangia Peter Ndegwa aingie @SafaricomPLC kama CEO fraud has been on notice. Until the government is forcing everyone to confirm their line registration.. What is it that Ndegwa is NOT doing enough to secure the system!!!!!",1,0,0,0,0,1,rkm please send stop code promotional message exemption tangia peter ndegwa aingie kama ceo fraud notice government forcing everyone confirm line registration ndegwa enough secure system
"@AIRTEL_KE Still awaiting registration, since March 30 2022@sebkimeli Hi @sebkimeli kindly share your name, phone and ID number via this DM link https://t.co/jF6LqBUAqM ^VK.",0,1,0,1,0,0,still awaiting registration since march kindly share name phone id number via link vk
"Even though Airtel's internet connection has never been flawless, it has deteriorated in the past few days. I think… https://t.co/1NIdKOddJM@SafaricomPLC Suggest you link mpesa to payoneer",0,0,1,0,1,0,even though airtel internet connection never flawless deteriorated past days think suggest link mpesa payoneer
"b'@AIRTEL_KE  why would you do this to your, clients!? Why would a network in a modern era behave like this?? \xf0\x9f\x92\x94, you\xe2\x80\xa6 https://t.co/yKWvoaHjkp'If you are a Safaricom subscriber, to avoid being a Victim of the SIM SWAP FRAUD, dial  *100*100# to activate anti-… https://t.co/3r8I75euEP",1,0,0,0,0,1,b would clients would network modern era behave like xf x f x x xe x xa safaricom subscriber avoid victim sim swap fraud dial activate anti
"@candwongj @Airtel_Ug @Airtel_Ug has no service centre in Moroto, it's only as good as an agent's stall 😂😂😂🙌@Skelta_helter @WendyKarimi1 @Safaricom_Care @__Jijo_ @ZERO_MIND_1 @samuelwaititu12 @bobbymhenga @danniewakiambu @TheDopestLyon 😂😂😂😂",1,0,0,0,1,0,service centre moroto good agent stall
"@AIRTEL_KE Work on it,it's too weak and low,check your DM@Surveyor456 Hi Levis, to check for job opportunities kindly check our career portal  https://t.co/Hhqjrz1Hq9 . All the best.^MS",0,0,1,1,0,0,work weak low check levis check job opportunities kindly check career portal best ms
@BrainchildBCW @Airtel_Ug @FireworksUganda @PRAU_Uganda @BCWAfrica Congrats @wwafula &amp; your team at @BrainchildBCW… https://t.co/Ufdz1qGupLb'@GeorgeMutemi3 Confirm mpesa  and  my safaricom app #AKissForDO https://t.co/t2ISSusIfa',1,0,0,0,1,0,congrats amp team confirm mpesa safaricom app akissfordo
"@volklub Sorry Paaji, I disagree 100% .  Have been a customer of Airtel from past 10-12 years . Chahe rural ho, ya videsh , its service has always been better than its rivals . Raat ke 11 baje Airtel ke Customer Service walon ne Mom ko help kia tha ...@BravinYuri Since safaricom ordered people to do another sim registration, a lot of crimes have accumulated. It's like the measures they used to protect out data have been outdated. Yet, we haven't heard any safaricom employee who has been apprehended as a fraudster.why?",0,0,1,1,0,0,sorry paaji disagree customer airtel past years chahe rural ho videsh service always better rivals raat ke baje airtel ke customer service walon ne mom ko help kia tha since safaricom ordered people another sim registration lot crimes accumulated like measures used protect data outdated yet heard safaricom employee apprehended fraudster
"@SafaricomPLC ,is there something i can do to avoid sim swaps?b'@victorkamole @omwambaKE Apologies for the frustration caused. Please visit our shops for assistance on this. ^Caro'",0,0,1,0,0,1,something avoid sim swaps b apologies frustration caused please visit shops assistance
"@AIRTEL_KE 10/= for 70mbs while @Safaricom_Care is offering 5/= for 500mbs. Safaricom will always win. @AIRTEL_KE g… https://t.co/bEo8Gtvt72@Safaricom_Care @BrayoehNgetich @Safaricom_Care  not working. "" Connection problem or invalid MMI code""",1,0,0,0,0,1,mbs offering mbs safaricom always win g working connection problem invalid mmi code
"@__IHAJJUTD Thank you, but I will be here serving you. Offering the best. ^CaroM-PESA🇰🇪 is finally going virtual!  Safaricom and VISA Launch M-PESA Virtual Card for Customers    https://t.co/9FxfEpiXVW @SafaricomPLC @VisaNews @Visamiddleeast",1,0,0,0,1,0,thank serving offering best carom pesa finally going virtual safaricom visa launch pesa virtual card customers
@AIRTEL_KE are you guys or customers suffering from SIMCARD swaping SCAMs? hebu tusaidieni na alternatives na @Safaricom_Care please advise. @SeraNjoro weee premium tears Leading @citizentvkenya @KIMISITUSACCO @maishabora_ke@pl_safaricom Can u check the inbox now?,0,0,1,0,1,0,customers suffering simcard swaping scams hebu tusaidieni alternatives please advise weee premium tears leading u check inbox
